headline_text,source,time_stamp,label
Can America maintain military edge?,washingtonpost.com,2021-04-01T11:22:38Z,0
Bailouts made wealthiest hospitals even richer...,washingtonpost.com,2021-04-01T11:22:36Z,0
Live updates: Biden to convene his first Cabinet meeting; Harris to promote vaccinations with new coalition,washingtonpost.com,2021-04-01T11:09:22Z,0
Warning to president: Govt breakdowns loom...,washingtonpost.com,2021-04-01T11:04:37Z,0
"Plane dropped pink cloud in gender-reveal stunt. Then it fell to sea, killing two...",washingtonpost.com,2021-04-01T11:04:36Z,0
"Senegal’s violent protests reveal that its long-stable democracy is fragile, after all",washingtonpost.com,2021-04-01T11:00:40Z,0
"Along Russia's majestic Lake Baikal, the quest for tourism cash stalks a pristine landscape",washingtonpost.com,2021-04-01T11:00:16Z,0
China and Iran announced a new economic and security partnership. That’s not as alarming as it sounds.,washingtonpost.com,2021-04-01T10:30:36Z,0
Biden says he would ‘strongly support’ moving MLB All-Star Game out of Georgia over voting law,washingtonpost.com,2021-04-01T10:25:15Z,0
Biden’s commission is examining Supreme Court term limits. Those could have unintended consequences.,washingtonpost.com,2021-04-01T10:00:40Z,0
"India's abrupt lockdown forced millions to walk, bike and hitchhike home. Many lives will never be the same.",washingtonpost.com,2021-04-01T10:00:24Z,0
"'We can do this’: Biden unveils pro-vaccine TV ads, network of grass-roots leaders to push shots",washingtonpost.com,2021-04-01T10:00:22Z,0
Biden Justice Department will continue to push D.C. gun cases to federal court,washingtonpost.com,2021-04-01T10:00:00Z,0
"A warning to Biden: The number of federal government breakdowns has been accelerating, and there are bound to be more on his watch",washingtonpost.com,2021-04-01T10:00:00Z,0
Boris Johnson's top Black aide quits amid furor over Britain's landmark race report,washingtonpost.com,2021-04-01T09:16:28Z,0
D.C.-area forecast: Rain ends and skies clear but it’s blustery and cold,washingtonpost.com,2021-04-01T09:00:16Z,0
"For Juan Soto, the home runs and the hype don’t matter. The work does.",washingtonpost.com,2021-04-01T08:00:19Z,0
